frame,t,x,y,z
358507,5.903847474604845,-176.38101196289062,-245.38226318359375,1.1943004131317139
358508,5.953847475349903,-176.38101196289062,-245.38226318359375,1.1551003456115723
358509,6.003847476094961,-176.38101196289062,-245.38226318359375,1.091400384902954
358510,6.053847476840019,-176.38101196289062,-245.38226318359375,1.0032004117965698
358511,6.103847477585077,-176.38101196289062,-245.38226318359375,0.8905003070831299
358512,6.153847478330135,-176.38101196289062,-245.38226318359375,0.753300130367279
358513,6.203847479075193,-176.38101196289062,-245.38226318359375,0.5916001200675964
358514,6.2538474798202515,-176.38101196289062,-245.38226318359375,0.40540018677711487
358515,6.3038474805653095,-176.38034057617188,-245.383544921875,0.1957794576883316
358516,6.353847481310368,-176.36404418945312,-245.38421630859375,0.0043006897903978825
358517,6.403847482055426,-176.3268585205078,-245.38079833984375,-0.06774158030748367
358518,6.453847482800484,-176.275390625,-245.37298583984375,-0.047240715473890305
358519,6.503847483545542,-176.191650390625,-245.3596649169922,-0.02509407140314579
358520,6.5538474842906,-176.08323669433594,-245.34271240234375,-0.003362657967954874
358521,6.603847485035658,-175.95620727539062,-245.32318115234375,0.017405888065695763
358522,6.653847485780716,-175.8130645751953,-245.30137634277344,0.037168994545936584
358523,6.703847486525774,-175.65484619140625,-245.27761840820312,0.05587005615234375
358524,6.753847487270832,-175.4825897216797,-245.25067138671875,0.07427840679883957
358525,6.80384748801589,-175.29701232910156,-245.22149658203125,0.09284915775060654
358526,6.853847488760948,-175.0984344482422,-245.19081115722656,0.11153144389390945
358527,6.903847489506006,-174.88714599609375,-245.15850830078125,0.1301724910736084
358528,6.953847490251064,-174.66392517089844,-245.12451171875,0.15001849830150604
358529,7.003847490996122,-174.42886352539062,-245.0888671875,0.17097121477127075
358530,7.05384749174118,-174.18202209472656,-245.05169677734375,0.19308635592460632
358531,7.1038474924862385,-173.9236297607422,-245.0129852294922,0.21620672941207886
358532,7.1538474932312965,-173.6607208251953,-244.9738006591797,0.23958712816238403
358533,7.203847493976355,-173.39663696289062,-244.93466186523438,0.2629888951778412
358534,7.253847494721413,-173.127685546875,-244.8950653076172,0.2867419123649597
358535,7.303847495466471,-172.85198974609375,-244.8546600341797,0.3110390305519104
358536,7.353847496211529,-172.56727600097656,-244.81314086914062,0.33609744906425476
358537,7.403847496956587,-172.27081298828125,-244.77012634277344,0.36215826869010925
358538,7.453847497701645,-171.960205078125,-244.72537231445312,0.38945305347442627
358539,7.503847498446703,-171.63922119140625,-244.67909240722656,0.41768065094947815
358540,7.553847499191761,-171.30519104003906,-244.63131713867188,0.4470371603965759
358541,7.603847499936819,-170.960693359375,-244.5820770263672,0.4773349165916443
358542,7.653847500681877,-170.60557556152344,-244.53143310546875,0.5085648894309998
358543,7.703847501426935,-170.2394561767578,-244.47825622558594,0.5407724976539612
358544,7.753847502171993,-169.86215209960938,-244.4227294921875,0.5739738345146179
358545,7.803847502917051,-169.4735565185547,-244.3651885986328,0.6081753969192505
358546,7.853847503662109,-169.07351684570312,-244.30575561523438,0.643383800983429
358547,7.903847504407167,-168.6619873046875,-244.244384765625,0.6796076893806458
358548,7.9538475051522255,-168.23887634277344,-244.18115234375,0.7168537974357605
358549,8.003847505897284,-167.80409240722656,-244.115966796875,0.7551305890083313
358550,8.053847506642342,-167.35752868652344,-244.04896545410156,0.7944453954696655
358551,8.1038475073874,-166.8990020751953,-243.97999572753906,0.8348138332366943
358552,8.153847508132458,-166.428466796875,-243.9091796875,0.8762421011924744
358553,8.203847508877516,-165.94772338867188,-243.83670043945312,0.9185816645622253
358554,8.253847509622574,-165.46148681640625,-243.76333618164062,0.9614382982254028
358555,8.303847510367632,-164.97706604003906,-243.68954467773438,1.0041799545288086
358556,8.35384751111269,-164.50006103515625,-243.6162567138672,1.0463032722473145
358557,8.403847511857748,-164.0334930419922,-243.54412841796875,1.0875132083892822
358558,8.453847512602806,-163.5791015625,-243.47364807128906,1.1276447772979736
358559,8.503847513347864,-163.13804626464844,-243.4049530029297,1.1665928363800049
358560,8.553847514092922,-162.71096801757812,-243.3382568359375,1.2042958736419678
358561,8.60384751483798,-162.29824829101562,-243.2736053466797,1.2407243251800537
358562,8.653847515583038,-161.9000244140625,-243.21115112304688,1.2758649587631226
358563,8.703847516328096,-161.51629638671875,-243.15077209472656,1.3097187280654907
358564,8.753847517073154,-161.14697265625,-243.09266662597656,1.34229576587677
358565,8.803847517818213,-160.79190063476562,-243.0366668701172,1.373610496520996
358566,8.85384751856327,-160.4510955810547,-242.98019409179688,1.4036991596221924
358567,8.903847519308329,-160.12159729003906,-242.92198181152344,1.432815670967102
358568,8.953847520053387,-159.79945373535156,-242.86325073242188,1.4612863063812256
358569,9.003847520798445,-159.48110961914062,-242.80384826660156,1.4894218444824219
358570,9.053847521543503,-159.16302490234375,-242.74339294433594,1.5175361633300781
358571,9.10384752228856,-158.842041015625,-242.6814727783203,1.5459123849868774
358572,9.153847523033619,-158.5155792236328,-242.61778259277344,1.574782371520996
358573,9.203847523778677,-158.181640625,-242.55191040039062,1.6040407419204712
358574,9.253847524523735,-157.83885192871094,-242.48362731933594,1.6342558860778809
