frame,t,x,y,z
16,7.7665440402925014,-176.38101196289062,-245.38226318359375,1.1943004131317139
17,7.8165440410375595,-176.38101196289062,-245.38226318359375,1.1551003456115723
18,7.866544041782618,-176.38101196289062,-245.38226318359375,1.091400384902954
19,7.916544042527676,-176.38101196289062,-245.38226318359375,1.0032004117965698
20,7.966544043272734,-176.38101196289062,-245.38226318359375,0.8905003070831299
21,8.016544044017792,-176.38101196289062,-245.38226318359375,0.753300130367279
22,8.06654404476285,-176.38101196289062,-245.38226318359375,0.5916001200675964
23,8.116544045507908,-176.38101196289062,-245.38226318359375,0.40540018677711487
24,8.166544046252966,-176.38034057617188,-245.383544921875,0.1957794576883316
25,8.216544046998024,-176.36404418945312,-245.38421630859375,0.0043006897903978825
26,8.266544047743082,-176.3268585205078,-245.38079833984375,-0.06774158030748367
27,8.31654404848814,-176.275390625,-245.37298583984375,-0.047240715473890305
28,8.366544049233198,-176.191650390625,-245.3596649169922,-0.02509407140314579
29,8.416544049978256,-176.08323669433594,-245.34271240234375,-0.003362657967954874
30,8.466544050723314,-175.95620727539062,-245.32318115234375,0.017405888065695763
31,8.516544051468372,-175.8130645751953,-245.30137634277344,0.037168994545936584
32,8.56654405221343,-175.65484619140625,-245.27761840820312,0.05587005615234375
33,8.616544052958488,-175.4825897216797,-245.25067138671875,0.07427840679883957
34,8.666544053703547,-175.29701232910156,-245.22149658203125,0.09284915775060654
35,8.716544054448605,-175.0984344482422,-245.19081115722656,0.11153144389390945
36,8.766544055193663,-174.88714599609375,-245.15850830078125,0.1301724910736084
37,8.81654405593872,-174.66392517089844,-245.12451171875,0.15001849830150604
38,8.866544056683779,-174.42886352539062,-245.0888671875,0.17097121477127075
39,8.916544057428837,-174.18202209472656,-245.05169677734375,0.19308635592460632
40,8.966544058173895,-173.9236297607422,-245.0129852294922,0.21620672941207886
41,9.016544058918953,-173.6607208251953,-244.9738006591797,0.23958712816238403
42,9.066544059664011,-173.39663696289062,-244.93466186523438,0.2629888951778412
43,9.116544060409069,-173.127685546875,-244.8950653076172,0.2867419123649597
44,9.166544061154127,-172.85198974609375,-244.8546600341797,0.3110390305519104
45,9.216544061899185,-172.56727600097656,-244.81314086914062,0.33609744906425476
46,9.266544062644243,-172.27081298828125,-244.77012634277344,0.36215826869010925
47,9.316544063389301,-171.960205078125,-244.72537231445312,0.38945305347442627
48,9.36654406413436,-171.63922119140625,-244.67909240722656,0.41768065094947815
49,9.416544064879417,-171.30519104003906,-244.63131713867188,0.4470371603965759
50,9.466544065624475,-170.960693359375,-244.5820770263672,0.4773349165916443
51,9.516544066369534,-170.60557556152344,-244.53143310546875,0.5085648894309998
52,9.566544067114592,-170.2394561767578,-244.47825622558594,0.5407724976539612
53,9.61654406785965,-169.86215209960938,-244.4227294921875,0.5739738345146179
54,9.666544068604708,-169.4735565185547,-244.3651885986328,0.6081753969192505
